"","ENTREZID","SYMBOL","ENSEMBL","SRR7251660","SRR7251661","SRR7251662","SRR7251664","SRR7251665","SRR7251667","SRR7251668","SRR7251670"
"7045","2099","ESR1","ENSG00000091831",9,12,9,4,4,0,3,0
"7048","2100","ESR2","ENSG00000140009",5,13,14,3,20,0,12,0
"7049","2101","ESRRA","ENSG00000173153",15,22,22,16,29,2,3,1
"7050","2103","ESRRB","ENSG00000119715",1,0,2,0,0,0,0,0
"7051","2104","ESRRG","ENSG00000196482",2,0,0,0,0,0,0,0
"7052","2107","ETF1","ENSG00000120705",32,76,70,56,123,14,81,7
"7053","2108","ETFA","ENSG00000140374",83,217,52,44,80,2,21,0
"7054","2109","ETFB","ENSG00000105379",14,23,14,6,18,1,4,0
"7056","2110","ETFDH","ENSG00000171503",0,27,24,9,49,5,7,1
"7057","2113","ETS1","ENSG00000134954",170,2005,783,236,2273,62,639,28
"7058","2114","ETS2","ENSG00000157557",10,49,78,50,99,19,81,11
"7059","2115","ETV1","ENSG00000006468",3,0,1,0,1,0,0,0
"7060","2116","ETV2","ENSG00000105672",0,0,0,0,0,0,0,0
"7061","2117","ETV3","ENSG00000117036",12,30,39,19,48,12,59,10
"7062","2118","ETV4","ENSG00000175832",0,1,1,0,3,2,3,0
"7063","2119","ETV5","ENSG00000244405",3,0,2,2,2,2,1,0
"7065","2120","ETV6","ENSG00000139083",84,182,191,38,254,23,94,5
"7066","2121","EVC","ENSG00000072840",2,4,6,1,18,1,0,1
"7067","2122","MECOM","ENSG00000085276",14,2,0,1,1,0,0,0
"7068","2123","EVI2A","ENSG00000126860",15,100,105,17,195,7,45,3
"7069","2124","EVI2B","ENSG00000185862",64,296,900,75,676,238,657,107
"7070","2125","EVPL","ENSG00000167880",1,0,0,0,0,0,0,0
"7071","2128","EVX1","ENSG00000106038",0,0,0,1,0,0,0,0
"7073","2130","EWSR1","ENSG00000182944",33,330,367,73,552,25,193,18
"7074","2131","EXT1","ENSG00000182197",10,49,43,12,57,5,22,5
"7075","2132","EXT2","ENSG00000151348",7,81,52,8,119,5,20,1
"7076","2134","EXTL1","ENSG00000158008",0,1,1,0,1,0,0,0
"7077","2135","EXTL2","ENSG00000162694",10,6,0,1,13,0,1,0
"7078","2137","EXTL3","ENSG00000012232",13,28,64,19,72,0,13,1
"7079","2138","EYA1","ENSG00000104313",11,0,0,0,0,0,0,0
"7080","2139","EYA2","ENSG00000064655",0,0,0,0,2,2,0,0
"7082","2140","EYA3","ENSG00000158161",18,91,84,12,187,5,20,4
"7083","2145","EZH1","ENSG00000108799",35,219,189,15,521,10,73,3
"7084","2146","EZH2","ENSG00000106462",18,50,26,10,62,10,30,4
"7085","2147","F2","ENSG00000180210",6,0,0,0,0,0,0,0
"7086","2149","F2R","ENSG00000181104",119,278,65,52,126,4,9,0
"7088","2150","F2RL1","ENSG00000164251",14,5,4,0,4,0,2,0
"7089","2151","F2RL2","ENSG00000164220",0,45,39,4,63,2,15,2
"7090","2152","F3","ENSG00000117525",3,0,0,0,0,0,12,1
"7091","2153","F5","ENSG00000198734",11,53,116,8,137,22,53,6
"7092","2155","F7","ENSG00000057593",1,0,1,0,0,0,0,0
"7093","2157","F8","ENSG00000185010",0,0,0,0,0,0,0,0
"7094","2158","F9","ENSG00000101981",0,0,0,0,0,0,0,0
"7095","2159","F10","ENSG00000126218",5,0,2,0,0,0,0,0
"7097","2160","F11","ENSG00000088926",3,0,0,0,0,0,0,0
"7098","2161","F12","ENSG00000131187",4,1,3,0,0,0,0,0
"7099","2162","F13A1","ENSG00000124491",2653,10135,962,1211,603,19,108,16
"7100","2165","F13B","ENSG00000143278",2,0,0,0,0,0,0,0
"7101","2166","FAAH","ENSG00000117480",0,17,14,2,97,1,4,1
"7102","2167","FABP4","ENSG00000170323",0,0,1,0,0,0,0,0
"7103","2168","FABP1","ENSG00000163586",6,0,0,0,0,0,0,0
"7104","2169","FABP2","ENSG00000145384",1,0,0,0,1,0,0,0
"7106","2170","FABP3","ENSG00000121769",0,7,7,1,12,0,0,0
"7107","2171","FABP5","ENSG00000164687",0,0,0,0,3,0,0,0
"7108","2172","FABP6","ENSG00000170231",2,0,0,0,0,0,0,0
"7109","2173","FABP7","ENSG00000164434",2,0,0,0,0,1,0,0
"7110","2175","FANCA","ENSG00000187741",6,14,17,15,38,1,4,0
"7111","2176","FANCC","ENSG00000158169",13,18,12,6,37,0,8,0
"7112","2177","FANCD2","ENSG00000144554",20,68,40,10,141,2,13,1
"7113","2178","FANCE","ENSG00000112039",8,9,9,3,12,0,0,0
"7115","2180","ACSL1","ENSG00000151726",80,78,138,57,176,46,510,26
"7116","2181","ACSL3","ENSG00000123983",19,48,66,7,78,14,35,8
"7117","2182","ACSL4","ENSG00000068366",56,208,125,44,188,12,58,9
"7118","2184","FAH","ENSG00000103876",15,24,6,5,16,0,3,0
"7119","2185","PTK2B","ENSG00000120899",86,436,438,120,819,39,153,21
"7120","2186","BPTF","ENSG00000171634",71,749,576,118,1175,60,303,20
"7121","2187","FANCB","ENSG00000181544",15,15,5,0,23,1,2,0
"7122","2188","FANCF","ENSG00000183161",3,13,10,2,37,0,4,0
"7123","2189","FANCG","ENSG00000221829",2,20,16,8,23,0,4,0
"7125","2191","FAP","ENSG00000078098",4,0,0,0,0,0,0,0
"7126","2192","FBLN1","ENSG00000077942",6,0,0,0,0,0,0,0
"7130","2193","FARSA","ENSG00000179115",14,39,35,12,37,2,7,0
"7134","2194","FASN","ENSG00000169710",19,90,78,23,52,9,27,2
"7160","2195","FAT1","ENSG00000083857",14,0,0,0,1,0,0,0
"7169","2196","FAT2","ENSG00000086570",9,11,13,1,23,0,1,0
